,scores,labels,predicted_emotion_idx,predicted_emotion_score,predicted_emotion_label
gold_00000,"[0.0036296588368713856, 0.0014698884915560484, 0.001545251696370542, 0.9110453724861145, 0.06502185761928558, 4.0444552723784e-05, 0.00739098247140646, 0.009734507650136948, 0.00012200576020404696]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",3,0.9110453724861145,开心/happy
gold_00001,"[1.1891477697645314e-05, 8.11460631666705e-06, 5.274929662846262e-06, 0.000157752467202954, 0.9997814297676086, 2.281732491837829e-07, 2.1423327780212276e-05, 1.3209837561589666e-05, 7.19608067356603e-07]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",4,0.9997814297676086,中立/neutral
gold_00002,"[6.549507816089317e-07, 9.256073099095374e-07, 2.441438482492231e-06, 1.9632003386504948e-05, 0.9999712705612183, 1.6170934813430904e-08, 2.200969902332872e-06, 2.7206049253436504e-06, 1.8348195851558557e-07]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",4,0.9999712705612183,中立/neutral
gold_00003,"[0.00020789859991054982, 0.00037202468956820667, 0.00010603294504107907, 0.003497472731396556, 0.9947015047073364, 6.948092959646601e-06, 0.0006317453226074576, 0.00044542408431880176, 3.0863582651363686e-05]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",4,0.9947015047073364,中立/neutral
gold_00004,"[0.2509756088256836, 0.025654524564743042, 0.024529840797185898, 0.19251686334609985, 0.3967176675796509, 0.001331649604253471, 0.039068058133125305, 0.06850756704807281, 0.0006981278420425951]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",4,0.3967176675796509,中立/neutral
gold_00005,"[0.0040906332433223724, 0.0010108293499797583, 0.0018354331841692328, 0.4531781077384949, 0.4912375509738922, 6.497219146694988e-06, 0.015355788171291351, 0.03328186273574829, 3.222813802494784e-06]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",4,0.4912375509738922,中立/neutral
gold_00006,"[0.00164184276945889, 0.0033185482025146484, 0.018419070169329643, 0.26267799735069275, 0.055784307420253754, 5.429098109743791e-06, 0.015895714983344078, 0.6398362517356873, 0.002420869655907154]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",7,0.6398362517356873,吃惊/surprised
gold_00007,"[0.0009116079309023917, 0.0007504287059418857, 0.0029586334712803364, 0.40047338604927063, 0.04506702721118927, 0.016308914870023727, 0.007967277429997921, 5.6501623475924134e-05, 0.5255061984062195]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",8,0.5255061984062195,<unk>
gold_00008,"[0.17643767595291138, 0.058510344475507736, 0.0066244653426110744, 0.009277211502194405, 0.08255744725465775, 0.00013588320871349424, 0.03157419338822365, 0.18983842432498932, 0.44504430890083313]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",8,0.44504430890083313,<unk>
gold_00009,"[0.07044736295938492, 0.002990161068737507, 0.001664025359787047, 0.13801588118076324, 0.754316508769989, 9.596959716873243e-05, 0.021108292043209076, 0.01135503500699997, 6.805519660701975e-06]","['生气/angry', '厌恶/disgusted', '恐惧/fearful', '开心/happy', '中立/neutral', '其他/other', '难过/sad', '吃惊/surprised', '<unk>']",4,0.754316508769989,中立/neutral
